[2025-07-21 12:23:43] IP: 172.16.238.1 | Action: SYSTEM_INSTALL | Details: Wizard de instalação concluído | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
[2025-07-21 12:24:02] IP: 172.16.238.1 | Action: LOGIN_FAILED | Details: Token CSRF inválido | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
[2025-07-21 12:24:15] IP: 172.16.238.1 | Action: LOGIN_FAILED | Details: Token CSRF inválido | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
[2025-07-21 12:24:21] IP: 172.16.238.1 | Action: LOGIN_FAILED | Details: Token CSRF inválido | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
[2025-07-21 12:27:16] IP: 172.16.238.1 | Action: LOGIN_FAILED | Details: Token CSRF inválido | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
[2025-07-21 12:27:26] IP: 172.16.238.1 | Action: LOGIN_SUCCESS | Details: Admin: sunrise.henrique@gmail.com | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
[2025-07-21 12:32:29] IP: 172.16.238.1 | Action: LOGIN_FAILED | Details: Email ou senha incorretos | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
[2025-07-21 12:52:09] IP: 172.16.238.1 | Action: Sorteio criado | Details: ID: 1, Nome: Teste de Sorteio consultas | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
[2025-07-21 12:57:10] IP: 172.16.238.1 | Action: Ação em lote executada | Details: Ação: activate, IDs: 1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
[2025-07-21 12:57:22] IP: 172.16.238.1 | Action: Sorteio excluído | Details: ID: 1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
[2025-07-21 12:57:22] IP: 172.16.238.1 | Action: Sorteio excluído | Details: ID: 1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
[2025-07-21 12:57:25] IP: 172.16.238.1 | Action: Sorteio excluído | Details: ID: 1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
